"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"anker power bank slim",13,1096,502,1,1.75,1.05,1.94,223,458,1,0,0,0,0,0,0,0,0,"-","-",1
"anker power slim","-",346,248,23,,,,173,717,1,0,1,0,0,0,0,0,0,128,"-",1
"anker slim",9,1360,736,-4,1.32,0.96,1.51,198,541,1,0,1,0,0,0,0,0,0,13,"-",1
"anker slim 10000","-",946,279,37,,,,97,295,1,0,0,0,0,0,0,0,0,"-","-",1
"tesla power bank","-",1015,204,-22,2.02,1.37,2.04,187,201,1,0,0,0,0,0,0,0,0,"-","-",1
"anker ultra slim","-",492,61,-39,1.26,0.9,1.62,17,124,1,0,1,0,0,0,0,0,0,136,"-",1
"slim anker power bank","-",76,37,-52,,,,53,485,1,0,0,0,0,0,0,0,0,"-","-",1
"anker ultra slim power bank",5,2106,478,6,1.55,1.43,1.68,168,227,1,0,1,0,0,0,0,0,0,121,"-",1
"maggo",10,5147,736,-7,1.49,0.96,2.03,228,143,1,0,1,0,0,0,0,0,0,88,"-",1
"anker magsafe",101,8464,5603,6,1.01,0.62,1.22,535,662,1,0,1,0,0,0,0,0,0,56,"-",1
"anker maggo",190,44584,10923,-4,1.07,0.85,1.6,335,245,1,1,1,0,0,0,0,0,0,40,1,1
"anker mag go",27,6587,1897,-13,1.21,0.92,1.68,338,288,1,0,1,0,0,0,0,0,0,90,"-",1
"anker mag",9,1069,481,-3,1.38,1,1.78,204,450,1,0,1,0,0,0,0,0,0,130,"-",1
"anker mago",2,3849,458,"-",1.13,0.99,1.69,137,119,1,0,0,0,0,0,0,0,0,"-","-",1
