"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"anker charger travel","-",147,294,-16,,,,302,2000,1,0,0,0,0,0,0,0,0,"-","-",1
"ufo charger","-",3313,222,-5,0.76,0.51,1.01,85,67,1,1,1,0,0,0,0,0,0,34,1,1
"anker charging pad",5,696,502,-14,1.51,1.08,1.84,188,721,1,1,1,0,0,0,0,0,0,84,23,1
"anker charger 3 in 1",6,1067,443,-16,1.32,0.78,1.62,184,415,1,1,0,0,0,0,0,0,0,"-",23,1
"maggo charger","-",106,37,-62,1.43,1.03,1.73,102,348,1,1,0,0,0,0,0,0,0,"-",14,1
"anker go","-",179,179,-28,1.47,0.9,1.56,144,1000,1,0,1,0,0,0,0,0,0,143,"-",1
"anker maggo 3-in-1 charging station","-",313,173,-31,,,,124,552,1,1,0,0,0,0,0,0,0,"-",33,1
"anker watch and phone charger",1,403,386,-14,1.1,0.73,1.32,262,959,1,1,0,0,0,0,0,0,0,"-",8,1
"anker mago wireless charger","-",167,92,59,,,,90,550,1,1,0,0,0,0,0,0,0,"-",44,1
"anker maggo wireless charging station (3-in-1, foldable pad)","-",619,253,-37,1.18,0.88,1.82,206,409,1,1,0,0,0,0,0,0,0,"-",3,1
"anker ufo",9,19892,736,-16,1.53,0.94,1.89,68,37,1,1,1,0,0,0,0,0,0,45,1,1
"anker maggo ufo","-",6022,271,"-",1.4,0.9,1.76,33,45,1,0,1,0,0,0,0,0,0,81,"-",1
"anker magsafe compatible maggo ufo 3-in-1 charger, iphone 16 wireless charger station, qi2 certified","-",430,195,9,1.33,0.83,1.72,89,453,1,1,0,0,0,0,0,0,0,"-",7,1
"anker maggo wireless charging station 3-in-1, foldable pad","-",433,189,8,1.3,0.87,1.6,152,436,1,1,0,0,0,0,0,0,0,"-",23,1
"anker ufo charger","-",5566,295,33,1.91,1.27,2.29,57,53,1,1,1,0,0,0,0,0,0,38,6,1
"anker ufo 3 in 1",2,16407,443,1,1.12,0.79,1.44,20,27,1,1,0,0,0,0,0,0,0,"-",1,1
"anker ultra compact 3 in 1","-",1299,174,-37,1.08,0.86,1.44,101,134,1,1,0,0,0,0,0,0,0,"-",8,1
"anker mag go wireless charger","-",272,143,-22,,,,179,526,1,0,1,0,0,0,0,0,0,242,"-",1
"anker magsafe compatible maggo ufo 3-in-1 charger","-",626,161,-17,1.1,0.77,1.35,143,257,1,1,0,0,0,0,0,0,0,"-",14,1
"anker maggo ufo charger","-",3556,256,-22,1.01,0.69,1.32,86,72,1,0,1,0,0,0,0,0,0,29,"-",1
"anker mag go ufo","-",3875,124,-13,1.17,0.62,1.42,2,32,1,0,1,0,0,0,0,0,0,248,"-",1
"anker mago ufo charger","-",2588,132,-25,,,,10,51,1,1,0,0,0,0,0,0,0,"-",3,1
"anker mago ufo","-",11313,181,-25,,,,17,16,1,1,1,0,0,0,0,0,0,137,1,1
"mag go ufo","-",32600,163,-28,,,,29,5,1,1,1,0,0,0,0,0,0,144,4,1
"ufo charger anker","-",1770,131,-47,,,,56,74,1,1,0,0,0,0,0,0,0,"-",8,1
"ufo phone charger","-",206,77,-40,,,,77,373,1,0,0,0,0,0,0,0,0,"-","-",1
"anker 3 in 1 charging station travel","-",284,168,26,,,,84,592,1,1,0,0,0,0,0,0,0,"-",8,1
"anker maggo ufo 3-in-1 qi2 charger","-",889,271,62,,,,109,305,1,1,0,0,0,0,0,0,0,"-",7,1
"anker charger for travel","-",93,279,-10,,,,281,3000,1,1,0,0,0,0,0,0,0,"-",15,1
"anker maggo 3-in-1 folding wireless charging station","-",480,230,-19,,,,145,479,1,1,0,0,0,0,0,0,0,"-",32,1
"apple travel charger",12,55,553,-19,1.54,1.04,1.68,281,10000,1,0,1,0,0,0,0,0,0,104,"-",2
"mophie travel charger","-",799,227,-6,,,,255,284,1,0,0,0,0,0,0,0,0,"-","-",2
"anker watch","-",208,158,-37,1.14,0.8,1.42,210,760,1,0,1,0,0,0,0,0,0,192,"-",2
"anger charging pad","-",350,256,4,,,,160,731,1,1,0,0,0,0,0,0,0,"-",20,2
