国家站点,ASIN,评论ID,评论标题,属性,评论内容,VP标识,星级,作者,评论时间
US,B0D7DKJ75M,RKBV357AN9XC0,"Must have portability, high quality",Color: black,"Seems lighter than expected, works very well with iphone 13 pro and a RoKform crystal case.
<br>Sleek and well designed accommodation. Gets a little warm however phone does not.
<br>
<br>Best level of portability and high end quality.",是,5,Jared Alan VerBeek,2025-03-06
US,B0D7HZ4G5G,R1WI2RTO17G55A,"Great on paper, awful experience so far...",Color: White,The battery self depletes after a couple of days with no use. No response from Amazon or Anker.,是,1,OA,2025-02-24
US,B0D7DKJ75M,RNMIEIYZ3DY4F,Buena compra ,Color: black,"Muy bien producto, al manipularlo con el celular cargando se calienta demasiado",是,5,Diego A.,2025-02-22
US,B0D7DKJ75M,R3TGGD7OC9CDMX,Excellent,Color: black,Does what it was bought to do,是,5,Daryl C. Joseph,2025-02-19
US,B0D7HZ4G5G,R39ETQSHQQIJBL,Reliable and lots of bang for your buck,Color: White,"Sleek design and very portable, all while having a huge tank capable of recharging my phone several times (maybe 2 times or even more). On top of that, it charges my iPhone 13 Pro very quickly. While it definitely is a little heavy in hand, it’s not really a downside at all, and still doesn’t fall off easily. It also charges wirelessly without MagSafe (it worked on my AirPods), although I’m unsure if it works with other products or nonApple devices.",是,5,Jeremy,2025-02-19
US,B0D7DKJ75M,R3QCJ6NLIHWFLA,Super versatile charger,Color: black,"My favorite power bank now. Light, compact, packs 10k mAh, and can attach to the phone. While on the go, I always plug in the phone with a short cable for maximum charging speed and efficiency, but the MagSafe option really helps when traveling: I can charge both with a single cable overnight. And if I ever need an emergency charge for my Macbook Air, it can also do that with 30W of power. Most versatile power bank I've ever had.",是,5,virusman,2025-02-18
US,B0D7HZ4G5G,R1C0KR4AP8X8B8,Compatible with Samsung Galaxy S25Ultra with MagSafe Case,Color: White,"This Anker battery works perfectly with a Samsung Galaxy S25 Ultra phone as long as you have a MagSafe case. My phone is charging just fine. Take a look at the pics as the battery just slightly touches the bottom camera, but the camera still takes normal photos.",是,5,T. Nall,2025-02-18
US,B0D7DKJ75M,R2DSSLX8JQ8B9M,"Great battery, super portable.",Color: black,"Excellent product. Great battery, light and ultra-portable.",是,5,tincho,2025-02-17
US,B0D7DKJ75M,R1K0HWXBZ46TMD,"Worry free extended charging, super convenient. Great charger.",Color: black,"I bought this for my work travels. I couldn't be happier with this charger. Traveling from Switzerland, to France, to Belgium, to The Netherlands in one day by train. Total travels took 9 hours using the phone a lot to manage/purchase connections, view schedules, and listening to music along the way. This charger kept my iPhone 13 Mini full or nearly full the entire time. It was very reassuring knowing I would have good battery life, as some trains didn't have options for charging during the ride. Lack of cables was great for convenience.",是,5,Frank,2025-02-17
US,B0D7HZ4G5G,R2KLATVIC4SVXT,Small but mighty,Color: White,About as close to Apple OEM as you can get. Slim but packs a lot of power. Does warm up during charging but never too hot to hold. This is something you can carry in a bag or backpack everywhere. You almost forget it’s there until you need it. Wireless and wired charging are both super fast. Easy to recommend.,是,5,Alex,2025-02-15
US,B0D7DKJ75M,R1VPXQKA74XQ1K,Overall good product,Color: black,"I like how this is more slim than others and fits in my pocket much more comfortably. I've been using it for a few months now and travel a lot. It does get a bit warm when charging, nice hand warmer when it's cold. It recently seems to have issues charging. It only shows the first led light indicating a lower charge, but was still able to charge my phone fully. We'll see if it holds up, but does have me a little worried and not sure if i'd buy another.",是,4,Joe,2025-02-15
US,B0D7DKJ75M,R37VREVJXIN2HM,Used open products passed off as new.,Color: black,Ordered a new product and was sent a used product with an open package from anker store.,是,1,Trey,2025-02-15
US,B0D7HZ4G5G,R23NAPAYWIEFE,Good charger,Color: White,Excellent portable charger hold charge charges fast,是,5,Cindy,2025-02-14
US,B0D7DKJ75M,R1CJRMRRNFSXNC,Probably the best power bank out there,Color: black,"This thing is SMALL for what it is. At 10k man AND wireless, it slips easily into my pack. The wireless is great when I just want to have my phone on my table, not only that it's a soft rubbery feel so it won't scratch your phone. If you want a fast change you can attach a USBc to it no problem.",是,5,Andrew Ly,2025-02-14
US,B0D7HZ4G5G,R3U62B0FPF9GTF,"Compact, Powerful, Convenient",Color: White,"I have only had this unit for a couple of weeks or so, but it works exactly as described and is a very handy, portable, charger for my new phone. It can get a little warm, but not too bad so far. Only thing I wish it had was a kickstand but that is not a deal breaker for me. I will likely find one to apply to the back of it.",是,5,Jennifer Oldham,2025-02-14
US,B0D7DKJ75M,R2B0KXFZBPW82Y,Quick charge,Color: black,This bank is a definite must for long days. I sometimes need to change phone on the go. It’s quick and easy to charge phone with MagSafe feature. Only concern is it does get warm while charging.,是,5,Philip,2025-02-14
US,B0D7DKJ75M,R3UQKAIJWHVSY4,Cool as hell,Color: black,"Recently got into using MagSafe on all my mounts and chargers, so having a battery pack that is MagSafe compatible is awesome. Looks good, feels good in the hand, works super well and charges other usb c peripherals I have with a cable
<br>
<br>Yeah if you need a battery pack, and Love MagSafe; you can’t go wrong here",是,5,yuricobra,2025-02-14
US,B0D7DKJ75M,R1KW8F2RWS7WCB,Charging is slow,Color: black,This charger is convenient because of magnetic capabilities but I found it to be a trickle charger takes forever unless something is wrong with it,是,2,TropicThunder670,2025-02-14
US,B0D7DKJ75M,R1UZYKFQ9NZCBB,Awful product.,Color: black,Product is awful. I bought it 3 months ago and the device is dead. I went on the Chat with Anker and sat there for 15 minutes and nobody came on. DO NOT PURHCASE THIS PRODUCT! It died and then zero customer service!!!,是,1,Glenn Udell,2025-02-14
US,B0D7J24952,R3MBE0TE57C87F,didnt need it,Color: black,"returned this item bc i ended up not needing it. its a good item, i just didnt need it",是,5,Maximillian,2025-02-13
US,B0D7J2HS1X,R1WPSRP1H27SDQ,A battery that does what batteries do.,Color: Pink,"Works fantastic, easy to charge - sticks like glue!",是,5,Amazon Customer,2025-02-13
US,B0D7HZ4G5G,RGIX0TEVYOQ1T,Everything’s perfect BUT,Color: White,"Anker, come on! You nailed everything in this model BUT how can you not let users see remaining power? When it’s charging my phone, it’s a solid 1 led, pressing the power button too doesn’t show me remaining power! While other packs have a led displays, you don’t even let me see how much battery is left when it’s charging?? How can I see remaining power when it is charging my phone?? Absolutely disappointed that you missed such a basic feature :(",是,2,tetmaz,2025-02-13
US,B0D7HZ4G5G,RW76O2ZBJTEH9,Slim and convenient,Color: White,I had a previous model but it was a bit big when attached to my phone. I love this new slim version. Works good and fits nice,是,5,Cass,2025-02-12
US,B0D7HZ4G5G,R21EDD2HO58FYP,Amazing!,Color: White,Love all Anker chargers!,是,5,Nadine,2025-02-12
US,B0D7HZ4G5G,R3NEAGYC0YJSY,Stopped working in 1 month,Color: White,"Super upset. Bought in December. Was bulky and don’t stick to the phone well, but recharged, so I was going to be patient. Return window closed on Jan 31, and on Feb 5 it stopped working. When plugged in it shows full charge, but it won’t attach to the phone or recharge anything. Would not recommend.",是,1,Elena Huffman,2025-02-12
US,B0D7HZ4G5G,RNQSYXHHHZM26,Very portable and easy to use,Color: White,"Very easy to use, just snag to the back of the phone.",是,5,Qun Wang,2025-02-11
US,B0D7DKJ75M,R209Z99C91CZ64,Small and fast.,Color: Black,One the the best wireless portable charger that I own. It’s slim enough for everyday use and has enough power for a full recharge of my iPhone 15 pro max.,是,5,Michael P.,2025-02-10
US,B0D7DKJ75M,R16SMB6MPX2H9L,USED FRUAD!!!,Color: Black,"I love Anker. Great products. I just order this slim power bank and it was USED!!! I paid for new. The package was already sliced open (security tape).
<br>
<br>F R A U D",是,1,Satphoneguy,2025-02-09
US,B0D7HZ4G5G,R2HS7QV2R0XQYC,It just doesn’t charge.,Color: White,"I placed it on back of my phone with %79 battery, and after one hour of waiting it’s still the same. Charging speed might be so low or maybe it’s just broken. I don’t know if I should keep it or return it. Just disappointed about the functionality of this.",是,1,Mostafa Soltani,2025-02-08
US,B0D7DKJ75M,R2B7UD6SWBITL3,Awesome,Color: Black,"This is worth 70 bucks, charges quickly and my phone and it does last a few hours before it needs to charge satisfied with my purchase :)",是,5,Matth3w,2025-02-07
US,B0D7HZ4G5G,R3FP9S7DSRCAUH,Perfect for people on the go or traveling,Color: White,"It was my first time using this power bank for my iPhone 16 Pro Max. 1st charge- my iPhone was at 20% battery, it charged up to 85% in 2 hours, still have 2 dots remaining. 2nd charge - my iPhone was at 19%, it charged only up to 72% in 1 hour 40 min., and then power bank is empty. I believe it will give my iPhone probably 1 full charge only with a tiny bit leftover power. It feels warm to touch, but no overheating. I can use my phone while charging if needed. The device is compact enough, and it doesn't feel bulky in my hand with the phone. The magnet is very secure with the MagSafe, and doesn't fall off easily. 1 full charge is all I need for my phone. It works great for my need. It would be better if it will indicate the % of power left, but if that would compromise the size and weight, I can do without.",是,5,Cesca,2025-02-04
US,B0D7HZ4G5G,R1C32MT2RDCOGL,Not for me,Color: White,It took almost 3 hours to charge and only charged my phone to 96% before it died and had to be recharged.,是,1,vince,2025-02-04
US,B0D7DKJ75M,R1TGFE7ROPNZRH,Cannot charge a 15 pro max,Color: Black,"Maybe I received a defective unit but this charger couldn't wirelessly charge an iPhone 15 pro max or a iPhone 16 pro - it actually slowly drained the hone batteries. It charges the phones just fine when connected with a wire, but I bought this for the wireless charging capability. I have the slim version of this charger by Anker and it's able to bring either phone back to 80%.",是,1,Kevin C.,2025-02-03
US,B0D7DKJ75M,RSE2AT71KDSDC,For that person on the go..when their phone is always needs to be charged,Color: Black,"Purchased this for my sister who during the course of the day will need to charge her phone at somepoint. If she's not in the car or at the office, she had limited access to a charging port or cable....hence the portable charger.
<br>
<br>Now she doesn't have to worry about getting to a place to charge her phone. She can pull it from her backpack and charge. Convenient ability to charge magnetically, or with a cable. Both options work flawlessly.
<br>
<br>Overall, very satisfied with the purchase.",是,5,81280ZXTC,2025-02-02
US,B0D7DKJ75M,R2IVV4N43ZCNTL,100% recommend,Color: Black,Great product,是,5,Hayden Lusk,2025-01-31
US,B0D7DKJ75M,R1QL9L5W6KD4OK,DIED after 5 days,Color: Black,Unit is dead after only 5 days of use.,是,1,Andrew figueroa,2025-01-31
US,B0D7DKJ75M,R2QFQQF12YFAPO,Works Well.,Color: Black,"I got this charger for a trip I was taking overseas. I used it to charge my phone on the flights, and it worked great.",是,5,Curt C.,2025-01-28
US,B0D7J24952,RD46CC5W6EH54,Zoo Wee Mama! This product is excellent!,Color: Green,I appreciate the effectiveness and how quick it charges my iPhone 13 Pro Max. The power last for two to three charges and only takes 1.5hrs to 2hrs to fully charge the power bank. It's great on the go and the size is perfect to fit in my pocket. The color looks sleek and feels nice. My phone doesn't warm up unless I'm using my phone while using the power bank as usual.,是,5,Alexis Almaguer,2025-01-28
US,B0D7DKJ75M,R26BQ9DXQXPVK7,Charging speed is dead slow,Color: Black,"Design and everything is good. I didn't see overheating issues also. But the charging speed was very slow. Such a disappointment , because I really wanted this to work. So have to return it.",否,2,Vamshi,2025-01-28
US,B0D7DKJ75M,R8QANHMVSD9M5,Anker is the BEST,Color: Black,Anker is top notch all my chargers have been Anker,是,5,DC,2025-01-27
US,B0D7DKJ75M,R1SYG5SNL0J4UI,Disappointing: Slow charging and unusable while charging,Color: Black,"I bought this Anker MagGo Power Bank for a work conference, hoping for a convenient way to keep my phone charged. While it does charge, it's incredibly slow. But the biggest issue is that you can't actually use your phone while it's charging. I received multiple heat warnings when I tried to, which is a major concern. (See attached picture.)
<br>This defeats the purpose of a portable charger. I've never had this problem with a traditional power bank with a cable. It's a shame because the MagSafe feature is convenient, but the inability to use my phone while charging makes this product a no-go for me.",是,2,James,2025-01-27
US,B0D7DKJ75M,R3U4P4HRR41CHQ,So far so good,Color: Black,"As expected from Anker products,
<br>
<br>Recently i had a situation with other poduct and i can tell Anker Support is very good,
<br>
<br>So what im saying is, Anker is a reliable brand 👌🏽",是,5,JJCC,2025-01-26
US,B0D7J24952,RWQGX05IMDNSO,Works great,Color: Green,This does the job! I wish it had a better indicator of how much charge it has as it is being used.,是,5,fcroshaw,2025-01-24
US,B0D7J24952,R30EQW2S3PCCQ2,Works as described,Color: Green,Works very well; I recommend it.,是,5,TS,2025-01-20
US,B0D7J2HS1X,R3CRFGXNA386ML,Gets too hot,Color: Pink,"I thought this product was going to be better , is not cheap and it’s not worth it",是,2,Barbara G Mazer,2025-01-20
US,B0D7DKJ75M,R2PPHY2BAL3JF0,Pretty good power bank,Color: Black,"Accidentally dropped it in water, wasnt ruined even then.
<br>Also
<br>So good that my mom keeps stealing it.",是,5,K,2025-01-18
