国家站点,ASIN,评论ID,评论标题,属性,评论内容,VP标识,星级,作者,评论时间
US,B0D8PYPJ8P,R2O6D7JF379HDQ,Love the Size!,Color: Black Stone,"We bought this thinking it would be great for travel, and I'm sure it will be, but it's already become our primary charger in our family room. It's great to be able to fold it up and leave it on the coffee table without it taking up a lot of space or looking out of place. In use, it charges quickly and works great with our Apple devices (watch and iPhone) and a Samsung Z Flip phone.",是,5,Holly,2025-03-08
US,B0D8PYPJ8P,R2MMIEY7XZHT87,Honestly? This Anker MagGo UFO Charger is a Game-Changer!,Color: Aurora White,"Just grabbed this Anker MagGo UFO charger last month and wow - where has this been all my life? If you're sick of dealing with charging cable chaos (like I was), this thing is a total lifesaver.
<br>
<br>The magnetic snap for my iPhone is super satisfying, and it actually charges FAST (15W is no joke). I can finally charge my phone, watch and AirPods all at once without playing ""find the cable"" at 11pm.
<br>
<br>Best part? It folds up tiny for travel! I used to pack this whole tangle of chargers when traveling, but now it's just this little UFO-looking thing and I'm good to go. So much extra space in my bag now.
<br>
<br>Just a heads up - you do need to keep it plugged in (it's not a power bank), but that's obvious from the description.
<br>If you've got an iPhone and other Apple stuff, seriously just buy this already. Your nightstand (and your sanity) will thank you!
<br>
<br>If you are trying to cut weight and cables in your carry on give this a look.",是,5,The Retired Travelers,2025-03-08
US,B0D8PYPJ8P,R32KOSPZYVNEIX,Great portable charging solution - Another Anker Win,Color: Black Stone,"Bought this to use it when I travel. and it was definitely a great choice.
<br>Small footprint allows to carry it and use it basically anywhere, and can charge all devices without problems.
<br>Never noticed any additional heat. Material and build quality look great. Magnets work flawlessly.",是,5,Daniel Martinez Farthing,2025-03-04
US,B0D8PYWHZR,R30VOLA7QDE68B,Great systems to charge all your devices!,Color: Black Stone,"All in one place to charge my iPhone, watch and AirPods. On my bedside table. The travel version is very compact and charges everything too.",是,5,Lisa F.,2025-02-24
US,B0D8PYPJ8P,R2HRSUI8VM3VRF,great for travel,Color: Teal Oasis,Compact size works great can’t wait to use it overseas,是,5,Anarchist,2025-02-23
US,B0D8PYWHZR,R2R551M7WEEPES,Muy práctico útil para viajes ,Color: Black Stone,"Mute buen producto, para viajar es genial, no necesitas llevar más miles de cables. Lo recomiendo !!!",是,5,Paulo Jarowitzky,2025-02-23
US,B0D8PYWHZR,R14321C2TCG3B1,Loved it!!!,Color: Black Stone,"This is great for traveling specially you safe on taking too many charger cables. I sued it for my travel to Spain and the cruise, and it save me a lot of space. And its very compact as well. Only thing is that although it has a usb-c endpoint in order for it to work you must have the charging block, if you use the usb only it wont work. So keep that on mind.",是,5,Christian R.,2025-02-23
US,B0D8PYWHZR,R281QGBDOH2CTJ,Compact - great for travel,Color: Black Stone,"I like the convenience of this 3 in one charger.
<br>Works well and looks good too.
<br>Doesn’t take too much space when travelling.",是,5,RD,2025-02-21
US,B0D8PYWHZR,R3EHNITA65RNRP,Horrible quality,Color: Black Stone,"Very disappointed with the quality of the charger. I've been a fan of Anker for years, but this product is hot garbage. It won't charge my watch or phone, only the airpods. Would not recommend this to anyone!",是,1,Nguyen Thi Ngoc Vy,2025-02-20
US,B0D8PYWHZR,R1CFVJT9YFD5AK,"Looks like a Macaroon, but tastes so much better!",Color: Black Stone,Got this for a gift and while I think this is a great travel item I do feel like it was underwhelming as a gift. I wish it came with a little something extra.,是,4,Spir,2025-02-16
