商品名称,商品缩略图,商品链接,国家、地区,商品价格最大值,商品价格最小值,商品星级,店铺商标链接,店铺链接,店铺名称,店铺销量,店铺商品数,商品类目-en,商品类目-zh,商品评论数,销量环比,带货达人数,上架时间,运费（预设目的地为纽约）,销量,销售额,运营模式
"BPMIO Robot Vacuum and Mop Combo, 5500Pa Strong Suction, LiDAR Navigation with Smart Mapping, 120-Min Runtime, Custom Cleaning Schedule, Alexa & WiFi/App Compatible, Ideal for Pet Hair & Hard Floors",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/97e2ec69-0e70-4210-ac1d-477940ad99d9__1730562632372294566.jpeg,https://shop.tiktok.com/view/product/1730562632372294566?region=US,美国,102.99,102.99,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/0417405e-def0-4c13-9826-5ae518a2fe6d.webp,aweme://ec/store?sellerId=7496036444248312742&url_maker=store_rpc&store_page_version=1,MIUZZY US,7059,24,Household Appliances,家电,367,-32.61,260,2025-01-25,$0.00,31,3192.69,
"Laresar 3-in-1 Self-Charging Robot Vacuum Cleaner & Mop, 4500Pa Strong Suction Carpet Auto-boost Robotic Vacuum Cleaner, Self-Charging, Remote&Voice Control, Anti-Collision and Boundary Strips robot  vacuum Durable Powerful",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/c55d0e48-b184-4d5c-99b1-d14cbac644cc__1729413349540729772.jpeg,https://shop.tiktok.com/view/product/1729413349540729772?region=US,美国,139.00,139.00,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/51d01259-deb6-42bb-ac33-c4e910ae79e6.jpeg,aweme://ec/store?sellerId=7495130632515914668&url_maker=store_rpc&store_page_version=1,Laresar Store,31412,12,Household Appliances,家电,1364,0,9272,2024-01-18,$0.00,23,3197,
"【eufylive】eufy C20 Omni Robot Vacuum, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/7449ed40-27fe-4109-994c-6ff0bd1bbedc.jpeg,https://shop.tiktok.com/view/product/1730299210491532048?region=US,美国,479.99,479.99,4.5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/da25edea-8e95-41b4-9332-72ef0ee8cd9e.jpeg,aweme://ec/store?sellerId=7495157213974203152&url_maker=store_rpc&store_page_version=1,eufyOfficial,178864,113,Household Appliances,家电,25,1500,61,2024-12-20,$0.00,16,7199.84,
"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,https://shop.tiktok.com/view/product/1729699897869898512?region=US,美国,479.99,479.99,4.2,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/da25edea-8e95-41b4-9332-72ef0ee8cd9e.jpeg,aweme://ec/store?sellerId=7495157213974203152&url_maker=store_rpc&store_page_version=1,eufyOfficial,178864,113,Household Appliances,家电,175,-47.37,1180,2024-10-12,$0.00,10,4499.9,
"Eureka E10s Robot Vacuum with Bagless Self Emptying Station, Robotic Vacuum Mop Combo, 45-Day Capacity, 4000Pa Suction for Pet Hair, Remote control 2 in 1 home appliance, All-in-One Sweeping and Mopping Robot cleaner Springtok",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/6f03cbeb-2f74-45d0-86bc-91842775a444__1729496943480050457.jpeg,https://shop.tiktok.com/view/product/1729496943480050457?region=US,美国,306.69,304.99,4.4,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/72d68f8c-d647-4c0b-a54f-696641f02759.jpeg,aweme://ec/store?sellerId=7495805444326722329&url_maker=store_rpc&store_page_version=1,EurekaUS,24394,8,Household Appliances,家电,33,100,1081,2024-07-02,$0.00,2,619.98,
"AIRROBO Robot Vacuum Series: Vacuum Cleaner | Vacuum Mop Combo | Self-empty Vacuum and Mop Combo  60-Day Hands-Free,  Dust Collector Carpet Cleaning Machine Room Appliances Battery carpet cleaner vacuum mop combo japanese house cleaning gadgets",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/b0278655-65c9-4b1b-b30b-60d71e900429__1730903396321628342.jpeg,https://shop.tiktok.com/view/product/1730903396321628342?region=US,美国,279.99,89.99,3.7,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d2c91396-1fcc-45ed-b7f6-8ac381cb1dbe.jpeg,aweme://ec/store?sellerId=7495917043069520054&url_maker=store_rpc&store_page_version=1,AirroboTech,143,8,Household Appliances,家电,3,100,3,2025-03-27,$0.00,2,369.98,
"T10 Pro Robot Vacuum Cleaner,AI Obstacle Avoidance,150Mins Runtime,360° LiDAR Navigation,Pet Hair, Hard Floor, Low Carpet Battery Life Tuvacs",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/326af8bc-7cb1-4a78-b7df-b43a118ccebb__1729593725329576488.jpeg,https://shop.tiktok.com/view/product/1729593725329576488?region=US,美国,99.00,99.00,1,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/4220a92e-8c8d-4fab-8532-b08fa86de488.jpeg,aweme://ec/store?sellerId=7495804429746932264&url_maker=store_rpc&store_page_version=1,Yolaness-US,994,17,Household Appliances,家电,1,-80,53,2024-08-21,$0.00,1,99,
"Tikom Robot Vacuum and Mop, 5000Pa Suction, 150 min, Robot Vacuum Cleaner with Powerful Suction, Ultra-Slim, Self-Charging Robotic Vacuum Cleaner for Carpet, Pet Hair, Hard Floors, APP & Remote Control, G8000 Max Automatic Multifunctional",https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/4ad09ce1-9f8d-472c-b420-f99d5ef66fcf__1730774486614905606.jpeg,https://shop.tiktok.com/view/product/1730774486614905606?region=US,美国,139.99,139.99,5,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/66168b8d-5a2c-4faf-af54-f455a12c51b9.jpeg,aweme://ec/store?sellerId=7495876020145785606&url_maker=store_rpc&store_page_version=1,Tikom,472,2,Household Appliances,家电,12,0,8,2025-05-04,$0.00,1,139.99,
"Lefant M320 Robot Vacuum and Mop Combo,  210 Mins Runtime, Self-Charging, Visible 800ML Dustbin, Works with WiFi((2.4Hz Only) )/Alexa/APP, Ideal for Pet Hair, Black vacuum  mop vacuums Cleaning Machine Household Appliances",http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/41b48208-b1bc-4f2e-bfca-40c678c6138b.jpeg,https://shop.tiktok.com/view/product/1729471881888633587?region=US,美国,99.99,99.99,4.2,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/178e2734-ef01-476f-9a87-e7e264592ca8.jpeg,aweme://ec/store?sellerId=7495343675799079667&url_maker=store_rpc&store_page_version=1,Lefant Sale Store,1662,8,Household Appliances,家电,6,0,137,2024-05-01,$0.00,0,0,
Robot Vacuum Intelligent Multiple Cleaning Modes Vacuum For Pet Hairs Hard Floor Carpet With UV Lamp Lazy Sweeper Vacuum Cleaner,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/0b984e94-767b-46b2-b662-ab243eb5ca53__1729596238200869204.jpeg,https://shop.tiktok.com/view/product/1729596238200869204?region=US,美国,41.40,39.19,0,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/2b98aa2e-716d-4acc-9faf-0e1a28640665.jpeg,aweme://ec/store?sellerId=7495847421674883412&url_maker=store_rpc&store_page_version=1,Global Export Outlet,174,15,Household Appliances,家电,0,0,24,2024-10-16,$0.00,0,0,
