视频封面,主营类目,视频链接,视频标题,达人名称,达人账号,达人主页,达人头像,点赞数,播放量,评论数,收藏数,互动率（百分比）,视频时长（秒）,发布日期,视频销量,视频销售额,commodityId,商品头像,商品名称,商品价格,商品星级,商品类目,commodityCategoryCn,商品销量,商品销售额
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/5aa76958-2d37-4231-ba09-88f354943462.jpeg,Household Appliances,https://www.tiktok.com/@smithluiio/video/7502114650973162782,"robotic vacuum, robo vacuum, robot vacuum  #robotcleaner #mopvaccum #robot #robotcleaner #robotvacuumcleaner #clean #room #usa_tiktok #tiktokviral #cleaningtiktok #homecleaning #pets #cats   #roboticvacuum #robovacuum #robotvacuum ",jackterry51,smithluiio,https://www.tiktok.com/@smithluiio,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/896f8e21-75f7-46de-b7f1-46229d4fe964.jpeg,8782,610717,88,645,1.62,46,2025-05-09 00:36:37,,,1729699897869898512,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.2,Household Appliances,家电,2035,976779.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/a609126d-cf0e-4ec8-b470-31027f138fe1.jpeg,Home Improvement,https://www.tiktok.com/@meganmousa/video/7502186688886623519,Swimming pool essentials for this summer: robot pool vacuum with 90 minute runtime time! #poolvacuum #poolessenitals #swimmingpoolessentials #vacuum #outdoorfun #TikTokShopCreatorPick #TTSLevelUp #tiktokshopfinds #creatorsearchinsights  ,Megan Mousa 🌸,meganmousa,https://www.tiktok.com/@meganmousa,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/d3adad3b-6ad9-4439-8317-70074e84fae6.jpeg,344,105437,20,78,0.55,31,2025-05-09 05:16:06,28,3332,1730727104436146427,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/e00b56e9-a17d-4571-9fb0-65703c68cdf4.jpeg,"Scuba SE, AIPER Cordless Automatic Pool Vacuum Cleaner, with Auto- Parking, Lightweight, Ideal for Above Ground Flat Pool up to 860 sq.ft #outdoorfun",119.00,4.1,Home Improvement,家装建材,644,76636
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/87268206-4234-40cd-9d89-93e87a99714b.jpeg,Household Appliances,https://www.tiktok.com/@justadadvideos/video/7495156103882329374,New eufy c10 robot vacuum corner cleaning test #roomba #robotvacuum #justadadvideos #eufyclean #eufyrobotvacuum #robotvacuumcleaner ,Just A DAD,justadadvideos,https://www.tiktok.com/@justadadvideos,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/17f50fba-3291-46b8-a7ec-69094db32170.jpeg,350,100006,41,30,0.44,111,2025-04-20 06:34:06,0,0,1730897177105830672,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/b5635674-afd3-40e8-97d1-f0a129cadbfa__1730897177105830672.jpeg,"eufy C10 Robot Vacuum with Self Emptying Station, Up to 60 Days Hands Free Cleaning, Edge Expansion Brush, 2.85-Inch Ultra-Slim Body, Smart Mapping, Point Laser and Multi-Infrared Navigation",299.99,0,Household Appliances,家电,17,5099.83
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/61083113-82d0-4b29-bf71-e1474a9a9be4.jpeg,Household Appliances,https://www.tiktok.com/@justadadvideos/video/7498471938310819102,Dreame l20 review robot vacuum does a great job mopping #justadadvideos #robotvaccuum #roomba #robotvacuumcleaner #dreamel20ultra @DreameUS ,Just A DAD,justadadvideos,https://www.tiktok.com/@justadadvideos,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/17f50fba-3291-46b8-a7ec-69094db32170.jpeg,868,86155,16,126,1.26,154,2025-04-29 05:00:59,0,0,1730197644483335154,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/88ebcb3b-8890-4cad-8b9d-1523c3a31eaa__1730197644483335154.jpeg,"DREAME L20 Ultra Robot Vacuum, Auto Mop Removal&Raising, Washing and Drying, 7kPa Strong Suction, Self-Refilling, AI Obstacle Avoidance Robot Vacuu",549.98,0,Household Appliances,家电,0,0
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/556825d1-f920-484a-a6bb-e43ecb010209.jpeg,Household Appliances,https://www.tiktok.com/@smithluiio/video/7498417911149776158,"robotic vacuum, robo vacuum, robot vacuum  #robotcleaner #mopvaccum #robot #robotcleaner #robotvacuumcleaner #clean #room #usa_tiktok #tiktokviral #cleaningtiktok #homecleaning #pets #cats   #roboticvacuum #robovacuum #robotvacuum ",jackterry51,smithluiio,https://www.tiktok.com/@smithluiio,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/896f8e21-75f7-46de-b7f1-46229d4fe964.jpeg,1080,63948,26,178,2.27,49,2025-04-29 01:31:52,,,1729699897869898512,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.2,Household Appliances,家电,2035,976779.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/8ab5fa27-f636-4438-818a-490cd427ea74.jpeg,Household Appliances,https://www.tiktok.com/@smithluiio/video/7498006969677122847,"robotic vacuum, robo vacuum, robot vacuum  #robotcleaner #mopvaccum #robot #robotcleaner #robotvacuumcleaner #clean #room #usa_tiktok #tiktokviral #cleaningtiktok #homecleaning #pets #cats   #roboticvacuum #robovacuum #robotvacuum ",jackterry51,smithluiio,https://www.tiktok.com/@smithluiio,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/896f8e21-75f7-46de-b7f1-46229d4fe964.jpeg,347,47930,22,107,1.19,44,2025-04-27 22:57:09,,,1729699897869898512,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.2,Household Appliances,家电,2035,976779.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/1ad48cf4-a4c7-4b07-b8d6-c12a2cb46dda.jpeg,Household Appliances,https://www.tiktok.com/@eufyofficial/video/7500907993890884895,Don’t miss out on our Mid-Year Sale! 🚨 Save big on our top selling Omni C20 Robot Vacuum 🏡🧹 #fy #fyp #eufy #eufyc20 #eufyomnic20 #eufyrobotvacuum #robotvacuum #mopvacuum #CleanTok #TikTokShop #vacuum #sale ,eufy US,eufyofficial,https://www.tiktok.com/@eufyofficial,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/0bc0f826-6d7f-4c76-a855-1c2d769916b1.jpeg,53,45939,5,13,0.19,44,2025-05-05 18:35:13,0,0,1729699897869898512,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/bbc57fbe-ba58-4dde-852f-d4c1feb64be4.jpeg,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo, Self Emptying, Auto Mop Washing and Auto Drying for hands-free cleaning, 3.35-Inch Ultra-Slim Body, 7000 Pa Powerful Suction, All-in-One Station｜Spingtok",479.99,4.2,Household Appliances,家电,2035,976779.65
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9e27cc6e-7f57-4307-8ed6-8f705b7b56e5.jpeg,Household Appliances,https://www.tiktok.com/@trutech/video/7501763414713208110,Check it out on TikTok Shop ⬆️ This is the eufy C10 Robot Vacuum with Self Emptying Station Edge Expansion Brush and it’s a great way to keep your home clean @eufy US #eufyC10#eufyselfemptyC10#eufyrobotvacuum#eufy#selfemptystation#selfemptying#robotvacuum#CleanTok#cleaningtiktok#homehacks #eufypartner ,Trutech | Technology Reviews,trutech,https://www.tiktok.com/@trutech,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/a476d14e-f39a-4f09-b943-00e58224c7d8.jpeg,1788,44358,23,86,4.45,63,2025-05-08 01:54:27,0,0,1730897177105830672,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/b5635674-afd3-40e8-97d1-f0a129cadbfa__1730897177105830672.jpeg,"eufy C10 Robot Vacuum with Self Emptying Station, Up to 60 Days Hands Free Cleaning, Edge Expansion Brush, 2.85-Inch Ultra-Slim Body, Smart Mapping, Point Laser and Multi-Infrared Navigation",299.99,0,Household Appliances,家电,17,5099.83
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/f581dbc5-6fe9-49ba-bb22-c5ec3a6bc063.jpeg,Household Appliances,https://www.tiktok.com/@trutech/video/7496545844653608235,Check out this affordable robot pool vacuum on TikTok Shop ⬆️ The Seauto SAT10 Robotic Pool Vacuum is affordable and lets you easily keep your pool clean year round @Seauto Official #poolcleaning #poolrobot #seauto #poolrobotvacuum #seautosat10 #seautoparnter,Trutech | Technology Reviews,trutech,https://www.tiktok.com/@trutech,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/a476d14e-f39a-4f09-b943-00e58224c7d8.jpeg,2211,39839,13,167,6.12,55,2025-04-24 00:26:52,0,0,1730853716723339583,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/ac30adc9-4d7a-43e5-bf35-770c98bd0360__1730853716723339583.jpeg,"[150 Mins Running Up to 2000 Sq.ft] Seauto SAT 10 Robotic Pool Cleaner, Cordless Robotic Pool Vacuum for Above Ground Pool, 180W Brushless Motor, for In Ground Flat Pools up to 2000 sq.ft",299.99,2,Household Appliances,家电,1,299.99
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/75798718-2fa7-4e38-8778-9b8d20cc9364.jpeg,Home Improvement,https://www.tiktok.com/@jayfeezy/video/7501375650872266014,this has got to be the best robot pool vacuum I've ever seen. #aiper #aiperpoolvacuum #vacuum #poolcleaning #pool #poolvac #poolcleaner #poolvacuum #robotpoolvacuum ,Jayfeezy88,jayfeezy,https://www.tiktok.com/@jayfeezy,https://microdata-spiders-media.oss-cn-shanghai.aliyuncs.com/image/d225db6b-630d-4ec4-88fb-52bf53da77d8.jpeg,132,38581,6,23,0.62,91,2025-05-07 00:49:19,5,595,1730727104436146427,http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/e00b56e9-a17d-4571-9fb0-65703c68cdf4.jpeg,"Scuba SE, AIPER Cordless Automatic Pool Vacuum Cleaner, with Auto- Parking, Lightweight, Ideal for Above Ground Flat Pool up to 860 sq.ft #outdoorfun",119.00,4.1,Home Improvement,家装建材,644,76636
