avatarThumbnail,cid,createTime,createTimeISO,diggCount,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dfe6e9fa1c02e9738b6f302971cd35f5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=68623&refresh_token=ac389bc7e855e97b0c66af60ead6d446&x-expires=1740495600&x-signature=Sx2BePvf%2BAVHsDG0o6Zt0QRnwNE%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7457158986094887722,1736255160,2025-01-07T13:06:00.000Z,2,,1,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,What about pet accidents,7131894897692329006,honey.bunnykd,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/55757cbaf6b3c8edb8614658c3dfac41~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=57821&refresh_token=65ab0f9cdf0bd041fe4c67b701b76e3e&x-expires=1740495600&x-signature=GYiSOwv%2BCOQAMfcYOEtF%2B2YJgsY%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7452078362790707999,1735072208,2024-12-24T20:30:08.000Z,2,,1,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,The s1 pro by eufy is where it’s at,6727444943298577414,bsakelley,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/567ae78a6cb928fe1672e90022121577~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=22701&refresh_token=807b46b06d6dd5a55c46cd04b2433088&x-expires=1740495600&x-signature=ojKUuWufAVcrnFRG7it47CWptAI%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7452904299174642463,1735264518,2024-12-27T01:55:18.000Z,3,,1,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,When it mops is it just water only or can you add pinesol/or fabuloso?,6899609616742204422,favtexas,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6f8faa8fb23638c8f1a254b6ba9d630e~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=19364&refresh_token=763b44693c5f1c7bda44d9479df9a3bd&x-expires=1740495600&x-signature=ceQLQ8S44th9yuDwuWdId83wk5o%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7452503978190979886,1735171310,2024-12-26T00:01:50.000Z,6,,2,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,If they made it square with brushes on the sides it could also do baseboards.,6844501213116351493,solb70,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/07b13b958a3bf9f3fbfadb6110ce5560~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=53794&refresh_token=e417c62aab19bbe20e15df42e7987611&x-expires=1740495600&x-signature=PNXQPRNVOpr2KxIG7hOdsP4loOo%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7455423426221867806,1735851053,2025-01-02T20:50:53.000Z,6,,3,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,I just got this 4 days ago and I'm obsessed. I had the eufy x8 and this is so much better. I have 2 dogs and a toddler and my floors have never been so clean!,6855535870457103366,layla_likethesong,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4939675e1e15e05ab69c15c509d4eabe~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=55729&refresh_token=45a1dd8861731a8d198d2ae8136af12e&x-expires=1740495600&x-signature=Oc8pfTP4PPElYxghjZHqPjqCJrE%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7465853891738616619,1738279599,2025-01-30T23:26:39.000Z,3,,1,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,Will last a year and have all kind of issues when it’s out of warranty. I have owned 2 different ones and same thing every time. I still love eufy products though,6812346517270234118,julian34901,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7988567aacaa4d22f093d930a2e9f703~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=16085&refresh_token=381bd27c813e987950702bf605855d7b&x-expires=1740495600&x-signature=CVFlJjOklocTC6jTgBirm5mDrfI%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7443163403466785582,1732996544,2024-11-30T19:55:44.000Z,51,,0,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,you didn't take out the foam in the bumper btw,7220664830176576554,mr_l984,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5a0f3f36299b29186bec118c32ebdcc9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=43003&refresh_token=825e4238654f6d5df66bb4395e67246e&x-expires=1740495600&x-signature=CWSMRmu%2FWakldMfDfHs4KKKYdYc%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7467962489324536622,1738770569,2025-02-05T15:49:29.000Z,1,,0,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,Ese piso es madera?,6870933605586600966,liudyscruz4,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/62b433c9989bc181d2b399dbb650fbdc~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=85370&refresh_token=1fdca19683d0c9b67b3cd323794de0e3&x-expires=1740495600&x-signature=NdOqDlH0wl1lD%2BsIOILwy8wIwNE%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7455755685219009312,1735928414,2025-01-03T18:20:14.000Z,0,,0,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,Does the c20 have obstacle avoidance?,71074601530740736,willowdemetriou,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/011808992f1d60816ad720f9a7ee709a~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=70721&refresh_token=d231e65d77c146900b9e32a4bea0c8ba&x-expires=1740495600&x-signature=dStr2yqCNTiX7MOBwi%2BleEm0zc8%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7455429947173520159,1735852570,2025-01-02T21:16:10.000Z,1,,0,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,Why did you leave the foam on the sides..?,144552842912186368,kyouichiii,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/df632f8adb52e3eada1e2327172aa3f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&nonce=12286&refresh_token=a1bfb5dc6bba149f82eaac423694ca46&x-expires=1740495600&x-signature=OK4p%2B2NVF11h%2F3BjZDy%2BqTcebF0%3D&idc=no1a&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7466240110555202350,1738369526,2025-02-01T00:25:26.000Z,1,,0,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742,WOW! That works so well,6751573034535011333,morganar01,https://www.tiktok.com/@nataliia.sahm/video/7439424495473085742
