国家站点,ASIN,评论ID,评论标题,属性,评论内容,VP标识,星级,作者,评论时间
US,B07R295MLS,R2KS08M7A19HNQ,"IF YOU WANT A 11S WITH 2 SIDE BRUSHES, THIS IS NOT IT",Style: 11S Max,"The model has only one side brush, instead of the 2 side brushed that my 11S Max has. I am returning this model and buying a new battery for my old one.",是,1,Okie,2025-02-23
US,B07R295MLS,R10F8H5QY4W3TI,"(tldr)First impression, big fan of this bot. Compact and convenient 👍",Style: 11S Max,"I needed a vacuum for my small room to pick up all the dust and dog, and because I like good air flow I need to vacuum a lot but didn't like it taking up my time. I like that you can manual control where it goes if you want it to hit a specific spot and that your not tied down with wifi. I was a little nervous that the docking station needed more room, bit conveniently fits under a chair. First use had no issues and it did pick up dust and pet hair with ease.",是,5,"Martinez, Rudy",2025-02-21
US,B07R295MLS,R3QD43MCT3DZX7,GREAT,Style: 11S Max,I got this for my dad for Xmas. He has had NO complaints. I started with the lower tier one just in case we disliked it but I definitely want to eventually upgrade it. It’s very durable and can maneuver around the house well. It got stuck in bathroom once because it started cleaning in there with the door half open. It has a good suction too and cleans the carpet just as well as our other vacuum did. It takes longer than if we manually vacuumed but it is also more thorough and well we aren’t the one doing the work lol,是,5,Amieisole,2025-02-20
US,B07R295MLS,R3H8392NP95J2Q,Very effective and easy to use,Style: 11S Max,"My husband and I were impressed at its ability to both vacuum and navigate our rather complex floor plan with different types of rugs and tiles. I really appreciate that I can turn it on and it hasn't gotten stuck anywhere. It's suction power is amazing, especially in getting cat hair and small crumbs. Unlike other types we own, I don't need to frequently get up for it to function - thus defeating the idea of a ""robot"".
<br>From my experience, this inexpensive no frills vacuum is more effective than my other brand 10x its price and 100x harder to to use.
<br>
<br>If you want a robotic vacuum for simply daily vacuuming, you won't be disappointed.",是,5,Lillypad,2025-02-20
US,B07R295MLS,RBTVIUKSMAG0J,Great budget priced robo-vac,Style: 11S Max,My 9 month old puppy has started shedding and this robo-vac has worked fabulous. Within a week of running 2-3 times a day for 30 minutes each session I realized that it was working so well that I had to order replacement filters to be prepared. We nicknamed it Ralph.,是,5,JHam,2025-02-20
US,B07R295MLS,R2NMUDC5PLNTE3,Good little robot vacuum,Style: 11S Max,"Set-up was easy; I programmed it to run during the night, so we wouldn’t trip over it, and it works. It does occasionally get caught under furniture (sofa, specifically), and when that happens, the battery runs down. It recharges quickly, though, and the bin is easy to empty. I empty the bin in the morning, put it back on the charger, and it’s good to go. It helps with day-to-day floor maintenance, and so far, so good.",是,5,C. D. Cook,2025-02-19
US,B07R295MLS,R1UOQIJOIMYO5S,Less than two weeks old and already has issues,Style: 11S Max,"The media could not be loaded.       &nbsp;I’m not sure where to start.
<br>It does pick up dirt off the floor and pet hair, but not leaves.
<br>I have multiple rooms. Sometimes it leaves the room sometimes it doesn’t.
<br>I haven’t even had this two weeks and you can see in the video, it’s already squeaking.
<br>When it puts itself in a position like up underneath a recliner for instance, it basically just kind of Scoots back-and-forth and stays there until it runs out of power. So if you’re not monitoring this thing, it won’t get much done.
<br>I don’t buy my appliances to have to stand over them and make sure they’re doing their job. They are supposed to alleviate some of my work.
<br>I used to have a Roomba and I could easily use it. Let it charge and do that 3 to 4 times in a day.
<br>You won’t do that with this because it takes hours to charge.
<br>Also, as you’re looking through the specifics on this item as you scroll down, it shows the vacuum with the spinning brush on both sides. That is not the case. It only has one spinning brush on one side.
<br>It was quieter than my previous Roomba until it started squeaking and it doesn’t bang off of things as loud, but it needs a lot more attention and it seems like it’s going to break down fairly quick.
<br>I had such high hopes.
<br>Sadly, I will be returning it.",是,2,Venie,2025-02-19
US,B07R295MLS,REMXFJ2KRR5F9,NOISY & LOUD,Style: 11S Max,"WE PURCHASED THIS BRAND SEVERAL TIMES BUT I WAS SURPROISED THAT THIS ONE DOES NOT HAVE THE WIRELESS AND WIFI CABAPILTY LIKE THE OTHER ONE WE HAVE
<br>THIS WAS A GIFT AND UNFORTUNATELY, WAS LOUD AND DUMP TO SAY THE LEAST AND I WAS IMPERRASSED TO SEND IT AS A GIFT TO MY SISTER IN ANOTHER STATE IN TEXAS/ HOUSTON AND THEY HAVE OPENED IT AND NOT THINKING OF RETRNING IT SINCE IT WAS A GIFT,
<br>BASHAR",是,2,Bashar Abdelfattah,2025-02-19
US,B079QYYGF1,RB0H7V98ODMNZ,It started speaking after 2 weeks,Style: Slim 11S,"The media could not be loaded.       &nbsp;This is my third unit. They usually lasted 2-3 years, however this third unit started squeaking after 2 weeks. Tried troubleshooting but it did not help. Have to return it.",是,2,S Gat,2025-02-19
US,B07R295MLS,R1CE5EJVAXTHPW,Definitely Not Worth It,Style: 11S Max,"We had a roomba for years and loved it. One of ours neighbors recommended the Eufy.. we’ve had it for two months and we literally have issues with it everyday. It barely picks up anything, it can’t complete a whole cycle without dying. It’s by far the worst robot vacuum ever. Would not recommend. Go ahead and spend the extra money for a decent one.",是,1,Definitely not worth it,2025-02-19
US,B07R295MLS,R2LV5S8ZAK0ZN4,Do not buy,Style: 11S Max,The absolute worst.,否,1,Vickie F,2025-02-18
US,B07R295MLS,RMN2892MB0GKR,Long battery life,Style: 11S Max,This is my second vacuum the battery always dies within a year and a half wish the battery would last longer because the unit does get under chairs and beds and items other vacs don’t,是,3,Corian user,2025-02-17
US,B07R295MLS,R3EDU0IIX0FGYZ,Second Eufy - Second Fail,Style: 11S Max,"What we liked: we didn't want a wifi vacuum, battery life was decent and suction was average. We don't have pets so this unit worked for us.
<br>
<br>The problems: This is the second model of this product we purchased. 1st product was purchased 11/2020; it lasted approx 2.5 years before it stopped functioning. The power light would simply flash yellow and beep no longer vacuuming. A battery replacement did not remedy the issue. We got it for a good price and decided we'd purchase the same model again. That was a mistake. Our next unit last 13 months (conveniently just beyond the 12mo warranty) before it started spinning in circles. We contacted Eufy; they said it was the bumper and sent a replacement bumper but this did not remedy the problem. We contacted Eufy again, they responded with a generic 'it's out of warranty and not our problem'. Poor support from my perspective and the product did not last. I'd stay away even at a ridiculously good price. 2 Eufys; 2 rounds of wasted money.",是,2,Krista Gattis,2025-02-17
US,B07R295MLS,R1LNYPNN6D5GJA,Poorly made with no customer service,Style: 11S Max,"I bought my wife this vacuum in May of 2024. January 2025. The battery wouldn't charge any more.
<br>My wife contacted customer service about replacing the battery.
<br>It's been a month since first email and all they have done is give her the runaround.
<br>First they told he how to clean it, then order number, next they needed the number off the battery , then they wanted a picture of the battery. Customer Service zero.
<br>I will never buy this brand again.",是,1,Harry Leverett,2025-02-17
US,B07R295MLS,R19GC4XW4PFZFL,Not good,Style: 11S Max,"Clangs into things pretty aggressively, can dent things. Knocked my cats water bowl over. Doesn’t pick up cat liter bits or gets clogged. Wasn’t satisfied.",是,1,Amazon Customer,2025-02-17
US,B0DCFNZF32,R32I7A0WXF98L0,Nunca funcionó y atención pésima ,Style: Omni C20,No me agrado su función aspiradora y limpiar no sirvió y atención pésima,是,1,Daisy Andrade,2025-02-17
US,B07R295MLS,ROG1IM55ZWOLS,Highly recommend,Style: 11S Max,Cleans my floor and rugs very well. A lot better than some expensive robot vacuums that I have tried. Highly recommended!,是,5,Amazon Customer,2025-02-16
US,B079QYYGF1,R210WJQB5VVHR5,Not Well Made,Style: Slim 11S,Eufy no longer makes robot vacuums with 2 side brushes. I did not know this until my latest purchase of the 11S. They claim it’s just as efficient but that is not true for homes with multiple pets. I returned this one to Amazon.,是,1,Carolyn Colson,2025-02-16
US,B0DCFNZF32,R1W5WJ3ODDF8LU,Disappointed – Worst Robot Vacuum I’ve Owned,Style: Omni C20,"This is my first Eufy robot vacuum, and it will definitely be my last. I’ve owned 5 or 6 different robot vacuums over the years, and this one is by far the worst. It can’t complete a single cleaning cycle without running into some kind of issue.
<br>
<br>I’ve used much cheaper robot vacuums that performed significantly better. Even after replacing the dirty water container, it still won’t finish a full clean. For the price, I expected way more reliability. Save yourself the frustration and look elsewhere.",是,1,Travis H,2025-02-16
US,B079QYYGF1,RFP1FLYNGJ9ZQ,Love my other one but this one seems defective,Style: Slim 11S,I love my other eufy BUT This will not hold a charge? It’s on - the switch is on - and it goes 15-20 mins then stops and if I press the button the button doesn’t even respond with an error message etc,是,3,Anonymous,2025-02-15
US,B07R295MLS,R1RQBZ0O03X0IW,Last time im getting an eufy,Style: 11S Max,"This is the last time i will get getting eufy, last one didnt last more than like 2 or 3 years? This one is a very stupid robot, keeps getting stuck in places or kept trying for like minutes trying at that same spot again and again. The only thing i like is how slim it is so it can go under furnitures",是,2,Wendy Lam,2025-02-15
