"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@ByValentineLewis","true","Ugw6MZD7giKhe3LSmXp4AaABAg","https://shop.eufy.com/springHixr
https://eufyofficial.com/spring2WSO","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","5 days ago (edited)","8",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","33"
"@juliapolunza6525","false","Ugy0ek1zk8XaV0lgSs14AaABAg","Nice robot, affordable price. Good point Val","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","3"
"@Brend396","false","UgxXRpMhTdsew549HsV4AaABAg","Valentine absolutely loved these REVIEW so very detailed looks like a great vacuum for very affordable price","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","3"
"@vickyo_la","false","UgxitZtuBksCOf4lYe94AaABAg","This vacuum is definitely a game-changer","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@ericjason8118","false","Ugy62L8lZJdsb4-rhWJ4AaABAg","Love it but I’ve already just bought a robot from your other review 😅","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","2"
"@MelissaBall-gt9qs","false","UgwcTzwkyzD8QOxweMp4AaABAg","WOW 🔥🔥🔥🙌🏼🙌🏼🙌🏼","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","2"
"@Mzdamzel02","false","UgxJwWVo77xIv1iZxxh4AaABAg","Love how you explain things so clearly","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@DwaneRoberts-bl9oe","false","UgzZ2bjH4gGtE9lzdrx4AaABAg","Thank you for inspiring me to better ❤😍😍","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","2"
"@Beecan-eh-eye","false","Ugz_bJWHcntO3sNB4eh4AaABAg","Your reviews are always so on point","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@Treasure_care","false","UgzRutCfmqfsjOeFD0F4AaABAg","You make everything sound so good","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@CassandreaHampton","false","UgybEeQ7ghVX3C6-vut4AaABAg","You have a amazing personality!","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@abigailrusell_a","false","UgzVFCi0TlXbykw5XG54AaABAg","Nice ☑️☑️☑️💯","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","2"
"@LiamSawyer-c7c","false","UgzrEcqW-ekQjpCAS1h4AaABAg","Your page always has the best recommendations","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@Olivia_emily65","false","UgxNybyfKgTnSx-lMeF4AaABAg","Amazing 💯💪","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@PeytonGreen-k9p","false","UgxObyVmo5F2vLtJgh14AaABAg","This vacuum sounds amazing","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@JohnnyZanetti","false","Ugzv4a7vKFWH54q5OL94AaABAg","Such a helpful review, thank you","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@Lopez_jack","false","UgxXnewsWL8zm7MxhRZ4AaABAg","So cool ❤","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@Preshrink5","false","UgyQ53Y6lzOLy_gKuUZ4AaABAg","Definitely getting one ❤","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@Precious_Jewel4","false","Ugx-6tUZ8-wgcYui7aF4AaABAg","7000 Pa suction sounds so powerful","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@Noahbrooks1_3","false","UgxJhRSLM2UJ9asGGLR4AaABAg","The slim design makes it look so sleek","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","4 days ago","1",,"eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","comment","5rTG5f_yogU","1"
"@mattiesanders5102","false","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG7xfCVT0j7","not bad","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","1"
"@kenanxo7384","false","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG7xgi_OLW9","Got mine today","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","3"
"@kenoxfps8598","false","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG7xi2gGLAg","Its worth buying","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","3"
"@GardenDIY-1321","false","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG7xkqCTg0K","🔥🔥🔥🔥","56","true","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","1"
