kol_connection_date,kol_tiktol_id,kol_blogger_type,kol_url,kol_followers,kol_likes,kol_post_videos,kol_post_products,kol_post_script_type,kol_approval_status,kol_post_progress,kol_post_date,kol_post_url,kol_post_views,kol_post_likes,kol_post_comments
4.29,sadittyspams,,https://www.tiktok.com/@sadittyspams?shop_region=US,56.1k,4.9M,1,E28,情景,,4.28视频制作中；5.8视频已发布,,https://www.tiktok.com/@sadittyspams/video/7501923356757921070?shop_region=US,1000k,36.7k,105
4.29,latifahrenee,,https://www.tiktok.com/@latifahrenee?shop_region=US,15.1k,78.5k,1,E28,plug,,4.28视频制作中,,,,,
4.29,rsvpwithlori,,https://www.tiktok.com/@rsvpwithlori,14.4k,88.6K,1,E28,plug,,4.28视频制作中,,,,,
4.29,heycarrieannie,,https://www.tiktok.com/@heycarrieannie?shop_region=US,107.4k,7.2M,1,E28,,,4.28视频制作中,,,,,
4.29,tiffanymartinxx,,https://www.tiktok.com/@tiffanymartinxx?shop_region=US,193.1k,5.2M,1,E28,,,4.28视频制作中；5.8视频修改中;5.10视频发布,,https://www.tiktok.com/@tiffanymartinxx/video/7502649791583833390?shop_region=US,3200k,87.8k,370
4.29,carolinemcallahan,,https://www.tiktok.com/@carolinemcallahan?shop_region=US,52.2k,24M,1,E28,,,4.28视频制作中,,,,,
4.29,la_mari_sol,,https://www.tiktok.com/@la_mari_sol?shop_region=US,"71.2,",3M,1,E28,,,4.28视频制作中,,,,,
4.29,ryan.rockefeller,,https://www.tiktok.com/@ryan.rockefeller?shop_region=US,67.1k,5.8M,1,E28,,,4.29确认合作意向沟通档期中；5.7签订合同中,,,,,
4.29,slightproduction,,https://www.tiktok.com/@slightproduction?shop_region=US,4.5M,197.1M,1,E28,情景,,4.29确认合作意向产品素材了解中；4.30视频制作中；5.6视频已发布,,https://www.tiktok.com/@slightproduction/video/7499724785677700398?_r=1&_t=ZT-8w0oXRzM4Cp,867.2k,66.8k,52
4.29,sheluvssdee,,https://www.tiktok.com/@sheluvssdee?shop_region=US,77.5k,587.6K,1,E28,,,4.29确认合作意向产品素材了解中,,,,,
4.29,davisjourdan,,https://www.tiktok.com/@davisjourdan?shop_region=US,75k,12.6M,1,E28,情景,,4.29确认合作意向沟通档期中；4.30视频制作中；5.8视频t,,https://www.tiktok.com/@davisjourdan/video/7501527465060207918?shop_region=US,1400k,92.3k,58
5.6,jalexia.taylor,,https://www.tiktok.com/@jalexia.taylor?shop_region=US,96.9k,3.5M,1,E28,插播,,5.6确认合作意向产品素材了解，签订合同中,,,,,
5.6,mire.beauty,,https://www.tiktok.com/@mire.beauty?shop_region=US,108.4k,676.7K,1,E28,口播,,5.6确认合作意向产品素材了解，签订合同中；5.9制作视频中,,,,,
5.7,brittaneybailey,,https://www.tiktok.com/@brittaneybailey?shop_region=US,21.6k,262K,1,E28,plug,,5.7确认合作意向产品素材了解，签订合同中,,,,,
5.8,ravengabrielleofficial,,https://www.tiktok.com/@ravengabrielleofficial?shop_region=US,57.9K,530.8K,1,E28,口播,,5.8确认合作意向产品素材了解；5.9签订合同中,,,,,
5.12,fam_jonesss,,https://www.tiktok.com/@fam_jonesss,27.5k,386.6K,1,E28,,不合作,5.12确认合作意向产品素材了解,,,,,
5.12,justbeingmelani,,https://www.tiktok.com/@justbeingmelani,94.6k,1.3M,1,E28,情景,通过,5.12确认合作意向产品素材了解,,,,,
5.12,chooseanamazinglife,,https://www.tiktok.com/@chooseanamazinglife,24.1k,271.6K,1,E28,,通过,5.12确认合作意向产品素材了解；5.15签订合同中；视频已制作5.23,,,,,
5.12,ThaPressOnJunkie,,https://www.tiktok.com/@thapressonjunkie,13.9k,446.7K,1,E28,,不合作,5.12确认合作意向产品素材了解,,,,,
5.12,kclmft,,https://www.tiktok.com/@kclmft?shop_region=US,95.7k,6.3M,1,E28,,不合作,5.12确认合作意向产品素材了解,,,,,
5.12,laisha_ruizz,,https://www.tiktok.com/@laisha_ruizz?shop_region=US,81.3k,213.6K,1,E28,,通过,5.12确认合作意向产品素材了解,,,,,
5.12,blackjeepgirlnc,,https://www.tiktok.com/@blackjeepgirlnc?shop_region=US,27k,2.1M,1,E28,,通过,5.12确认合作意向产品素材了解,,,,,
5.12,leonzellers,,https://www.tiktok.com/@leonzellers?shop_region=US,3.8M,58.8M,1,E28,,通过,5.12确认合作意向产品素材了解,,,,,
5.14,gstavo_,,https://www.tiktok.com/@gstavo_?shop_region=US,23.1K,3.9M,1,E28,,通过,5.14确认合作意向产品素材了解,,,,,
5.14,evieandceairaa,,https://www.tiktok.com/@evieandceairaa?shop_region=US,140.4k,8.1M,1,E28,,通过,5.14确认合作意向产品素材了解；519视频制作中；视频已发布,,https://www.tiktok.com/@evieandceairaa/video/7506393259669818654?shop_region=US,2100k,92.6k,262
5.14,chandlerludlam,,https://www.tiktok.com/@chandlerludlam?shop_region=US,33.8k,498.4K,1,E28,,通过,5.14确认合作意向产品素材了解,,,,,
5.14,its_lauren_moore,,https://www.tiktok.com/@its_lauren_moore?shop_region=US,25.1k,385K,1,E28,,通过,5.14确认合作意向产品素材了解,,,,,
5.14,nayeadventures,,https://www.tiktok.com/@nayeadventures?shop_region=US,21.1k,72.1K,1,E28,,通过,5.14确认合作意向产品素材了解,,,,,
5.14,heathersarantakis,,https://www.tiktok.com/@heathersarantakis?shop_region=US,19.8k,121.3K,1,E28,,通过,5.14确认合作意向产品素材了解,,,,,
5.14,kelcieeet,,https://www.tiktok.com/@kelcieeet?shop_region=US,20.8k,261.6K,1,E28,,通过,5.14确认合作意向产品素材了解,,,,,
5.15,carolinaalopez_,,https://www.tiktok.com/@carolinaalopez_?shop_region=US,51.2k,1.5M,1,E28,,不合作,5.15确认合作意向产品素材了解,,,,,
5.15,bethpeterman_,,https://www.tiktok.com/@bethpeterman_?shop_region=US,58.6k,739.1K,1,E28,,不合作,5.15确认合作意向产品素材了解,,,,,
5.15,yourfriendashby,,https://www.tiktok.com/@yourfriendashby?shop_region=US,69.6k,178.1K,1,E28,,不合作,5.15确认合作意向产品素材了解,,,,,
5.15,angeliquehaleyyy,,https://www.tiktok.com/@angeliquehaleyyy?shop_region=US,21.2K,1.3M,1,E28,,通过,5.15确认合作意向产品素材了解,,,,,
5.15,alwayspie314,,https://www.tiktok.com/@alwayspie314?shop_region=US,117.1k,533.7K,1,E28,,不合作,5.15确认合作意向产品素材了解,,,,,
5.15,graceebrooke,,https://www.tiktok.com/@graceebrooke?shop_region=US,65.2k,3.4M,1,E28,,通过,5.15确认合作意向产品素材了解,,,,,
5.15,quayandbabyhonnor,,https://www.tiktok.com/@quayandbabyhonnor?shop_region=US,17.6k,189.2K,1,E28,,不合作,5.15确认合作意向产品素材了解,,,,,
5.15,crystalstill,,https://www.tiktok.com/@crystalstill?shop_region=US,18.7k,282.1K,1,E28,,不合作,5.15确认合作意向产品素材了解,,,,,
5.16,joliejohnstone,,https://www.tiktok.com/@joliejohnstone?shop_region=US,82.8k,594.4K,1,E28,,不合作,5.16确认合作意向产品素材了解,,,,,
